Código UNEP-WCMC (World Conservation Monitoring Centre),codCnuc,Nome do Órgão Gestor,nomeUC,Esfera Administrativa,Categoria de Manejo,Categoria IUCN (União Internacional para a Conservação da Natureza e dos Recursos Naturais),Municípios Abrangidos,Em conformidade com o SNUC,Estados Abrangidos,nome,anoCriacao,sigla,areaHa,perimetroM,atoLegal,esferaAdmin,siglaGrupo,UF,municipios,biomaIbge,biomaCrl,coordRegional,unidOrg,codCnucOld,linkOld,nomeUCOld,siglaNomeUCOld,siglaUCOld,nomeClasseOld,grupoOld,anoCriacaoOld,atoLegalOld,"DS_HISTO10,C,254Old",nomeCoordenacaoOld
 ,0000.32.3261 ,Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DOM PEDRO ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Santa Teresa (ES) ,Sim ,ES ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.32.3262 ,Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LINDA SOFIA ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Santa Teresa (ES) ,Sim ,ES ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.32.3263 ,Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL OLÍVIO DALEPRANE ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Santa Teresa (ES) ,Sim ,ES ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.32.3451 ,Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo ,RESERVA PARTICULAR DO PATRIMÔNIO NATARUAL URUÇU CAPIXABA ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Domingos Martins (ES) ,Sim ,ES ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.32.3452 ,Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BARRO BRANCO ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Guaçuí (ES) ,Sim ,ES ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.32.3453 ,Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DOIS IRMÃOS ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Santa Leopoldina (ES) ,Sim ,ES ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.32.3454 ,Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PEDRA DA LAJINHA ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Afonso Claúdio (ES) ,Sim ,ES ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.32.3455 ,Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DUTRA PIMENTA ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Afonso Claúdio (ES) ,Sim ,ES ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.32.3456 ,Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOA FÉ ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Afonso Claúdio (ES) ,Sim ,ES ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.32.3457 ,Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ALTO GURURU ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Alfredo Chaves (ES) ,Sim ,ES ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.32.3522 ,Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo ,RESERVA PARTICULAR DO PATRIMôNIO NATURAL RELUZ ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Marechal Floriano (ES) ,Sim ,ES ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.32.3523 ,Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo ,RESERVA PARTICULAR DO PATRIMôNIO NATURAL ÁGUIA BRANCA ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Vargem Alta (ES) ,Sim ,ES ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.32.3591 ,Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo ,RESERVA PARTICULAR DO PATRIMôNIO NATURAL GUARIBUS ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Itaguaçu (ES) ,Sim ,ES ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.32.3610 ,Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo ,RESERVA PARTICULAR DO PATRIMôNIO NATURAL VALE DAS ÁGUAS ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Vargem Alta (ES) ,Sim ,ES ,,,,,,,,,,,,,,,,,,,,,,,,,
39852,0000.33.0723 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL DO AVENTUREIRO ,Estadual ,Reserva de Desenvolvimento Sustentável ,Category VI ,Angra dos Reis (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
352119,0000.33.0724 ,Instituto Estadual do Ambiente do Rio de Janeiro ,ÁREA DE PROTEÇÃO AMBIENTAL DO PAU BRASIL ,Estadual ,Área de Proteção Ambiental ,Category V ,"Armação de Búzios (RJ), Cabo Frio (RJ) ",Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
19479,0000.33.0726 ,Instituto Estadual do Ambiente do Rio de Janeiro ,ÁREA DE PROTEÇÃO AMBIENTAL DE MANGARATIBA ,Estadual ,Área de Proteção Ambiental ,Category V ,Mangaratiba (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
39856,0000.33.0727 ,Instituto Estadual do Ambiente do Rio de Janeiro ,ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE SAPIATIBA ,Estadual ,Área de Proteção Ambiental ,Category V ,"Iguaba Grande (RJ), São Pedro da Aldeia (RJ) ",Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
19427,0000.33.0728 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA BIOLÓGICA ESTADUAL DA PRAIA DO SUL ,Estadual ,Reserva Biológica ,Category Ia ,Angra dos Reis (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
19480,0000.33.0729 ,Instituto Estadual do Ambiente do Rio de Janeiro ,ÁREA DE PROTEÇÃO AMBIENTAL DE MARICÁ ,Estadual ,Área de Proteção Ambiental ,Category V ,Maricá (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
116085,0000.33.0731 ,Instituto Estadual do Ambiente do Rio de Janeiro ,ÁREA DE PROTEÇÃO AMBIENTAL DE TAMOIOS ,Estadual ,Área de Proteção Ambiental ,Category V ,Angra dos Reis (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
352118,0000.33.0735 ,Instituto Estadual do Ambiente do Rio de Janeiro ,ÁREA DE PROTEÇÃO AMBIENTAL DE GERICINÓ/MENDANHA ,Estadual ,Área de Proteção Ambiental ,Category V ,"Mesquita (RJ), Nilópolis (RJ), Nova Iguaçu (RJ), Rio de Janeiro (RJ) ",Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
352120,0000.33.0736 ,Instituto Estadual do Ambiente do Rio de Janeiro ,ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO DOS FRADES ,Estadual ,Área de Proteção Ambiental ,Category V ,"Rio de Janeiro (RJ), Teresópolis (RJ) ",Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
352121,0000.33.0737 ,Instituto Estadual do Ambiente do Rio de Janeiro ,ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO MACACU ,Estadual ,Área de Proteção Ambiental ,Category V ,"Cachoeiras de Macacu (RJ), Guapimirim (RJ) ",Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
39850,0000.33.0738 ,Instituto Estadual do Ambiente do Rio de Janeiro ,ÁREA DE PROTEÇÃO AMBIENTAL DE MACAÉ DE CIMA ,Estadual ,Área de Proteção Ambiental ,Category V ,"Bom Jardim (RJ), Cachoeiras de Macacu (RJ), Casimiro de Abreu (RJ), Macaé (RJ), Nova Friburgo (RJ), Silva Jardim (RJ), Trajano de Morais (RJ) ",Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.1476 ,Instituto Estadual do Ambiente do Rio de Janeiro ,PARQUE ESTADUAL DA SERRA DA TIRIRICA ,Estadual ,Parque ,Category II ,"Maricá (RJ), Niterói (RJ) ",Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.1477 ,Instituto Estadual do Ambiente do Rio de Janeiro ,PARQUE ESTADUAL DA ILHA GRANDE ,Estadual ,Parque ,Category II ,Angra dos Reis (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.1478 ,Instituto Estadual do Ambiente do Rio de Janeiro ,PARQUE ESTADUAL DA PEDRA BRANCA ,Estadual ,Parque ,Category II ,Rio de Janeiro (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.1479 ,Instituto Estadual do Ambiente do Rio de Janeiro ,PARQUE ESTADUAL DO DESENGANO ,Estadual ,Parque ,Category II ,"Campos dos Goytacazes (RJ), Santa Maria Madalena (RJ), São Fidélis (RJ) ",Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.1480 ,Instituto Estadual do Ambiente do Rio de Janeiro ,PARQUE ESTADUAL DA SERRA DA CONCÓRDIA ,Estadual ,Parque ,Category II ,Valença (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.1481 ,Instituto Estadual do Ambiente do Rio de Janeiro ,ESTAÇÃO ECOLÓGICA ESTADUAL DE GUAXINDIBA ,Estadual ,Estação Ecológica ,Category Ia ,São Francisco de Itabapoana (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.1482 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA BIOLÓGICA ESTADUAL DE GUARATIBA ,Estadual ,Reserva Biológica ,Category Ia ,Rio de Janeiro (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.1483 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA BIOLÓGICA DE ARARAS ,Estadual ,Reserva Biológica ,Category Ia ,"Petrópolis (RJ), Miguel Pereira (RJ) ",Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.1485 ,Instituto Estadual do Ambiente do Rio de Janeiro ,PARQUE ESTADUAL DOS TRÊS PICOS ,Estadual ,Parque ,Category II ,"Teresópolis (RJ), Silva Jardim (RJ), Nova Friburgo (RJ), Guapimirim (RJ), Cachoeiras de Macacu (RJ) ",Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.1512 ,Instituto Estadual do Ambiente do Rio de Janeiro ,AREA DE PROTEçãO AMBIENTAL DO RIO GUANDU ,Estadual ,Área de Proteção Ambiental ,Category V ,"Japeri (RJ), Miguel Pereira (RJ), Paracambi (RJ), Piraí (RJ), Queimados (RJ), Rio Claro (RJ), Seropédica (RJ) ",Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.1514 ,Instituto Estadual do Ambiente do Rio de Janeiro ,ÁREA DE PROTEçãO AMBIENTAL DE MASSAMBABA ,Estadual ,Área de Proteção Ambiental ,Category V ,"Araruama (RJ), Arraial do Cabo (RJ), Saquarema (RJ) ",Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.1620 ,Instituto Estadual do Ambiente do Rio de Janeiro ,PARQUE ESTADUAL CUNHAMBEBE ,Estadual ,Parque ,Category II ,"Angra dos Reis (RJ), Itaguaí (RJ), Mangaratiba (RJ), Rio Claro (RJ) ",Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.1837 ,Instituto Estadual do Ambiente do Rio de Janeiro ,ÁREA DE PROTEçãO AMBIENTAL DE SEPETIBA II ,Estadual ,Área de Proteção Ambiental ,Category V ,Rio de Janeiro (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2263 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRINHA ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Silva Jardim (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2264 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CISNE BRANCO ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Silva Jardim (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2265 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ÁGUAS VERTENTES ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Silva Jardim (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2266 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOA ESPERANÇA ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Silva Jardim (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2267 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CAMPO ESCOTEIRO GERALDO HUGO NUNES ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Magé (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2268 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CÓRREGO FRIO ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Nova Friburgo (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2269 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BELLO E KERIDA ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Nova Friburgo (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2270 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RABICHO DA SERRA ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Silva Jardim (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2271 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL WOODSTOCK ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Nova Friburgo (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2272 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SOLEDADE ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Nova Friburgo (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2273 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÃO CARLOS DO MATO DENTRO ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Piraí (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2274 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA MATO GROSSO II ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Saquarema (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2275 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GOTAS AZUIS ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Seropédica (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2276 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VERBICARO ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Santa Maria Madalena (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2277 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL AGUAS CLARAS II ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Trajano de Morais (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2278 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FARGO ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Silva Jardim (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2279 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MONTE ALEGRE 1A ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Miguel Pereira (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2280 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL AGUAS CLARAS I ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Conceição de Macabu (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2281 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL POUSO ALTO ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Miguel Pereira (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2282 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LENÇÓIS ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Silva Jardim (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2283 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ITACOLOMY ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,São Fidélis (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2284 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TAQUARAL ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Silva Jardim (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2285 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIBEIRA E SOLEDADE ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Varre-Sai (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2286 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DOUGLAS VIEIRA SOARES ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Varre-Sai (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2287 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FRILSON MATHEUS VIEIRA ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Varre-Sai (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2288 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DUAS PEDRAS ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Nova Friburgo (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2289 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SETE FLECHAS ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Engenheiro Paulo de Frontin (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2290 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DAS ORQUÍDEAS ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Varre-Sai (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2291 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL XODÓ ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Varre-Sai (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2292 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOA VISTA ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Varre-Sai (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2293 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO DA LUZ ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Casimiro de Abreu (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2294 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL JARDIM DE MUKUNDA ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Resende (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2295 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SAMBAIBA ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Rio Claro (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2296 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PANAPANÁ ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Nova Friburgo (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2297 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOA VISTA E PHAROL ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Santo Antônio de Pádua (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2298 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTO ANTONIO ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Resende (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2299 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE DO PARAÍSO ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Nova Friburgo (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2300 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO DA LUZ ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Nova Friburgo (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2301 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO SERRA NEGRA ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Teresópolis (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2302 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BACCHUS ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Nova Friburgo (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2303 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL OLHO DÁGUA ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Teresópolis (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2304 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTELA ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Paracambi (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2305 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL AGULHAS NEGRAS ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Resende (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2306 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL QUERO-QUERO ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Silva Jardim (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2307 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO MONTE ALEGRE 1B ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Miguel Pereira (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.33.2341 ,Instituto Estadual do Ambiente do Rio de Janeiro ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÃO JOSÉ ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Nova Friburgo (RJ) ,Sim ,RJ ,,,,,,,,,,,,,,,,,,,,,,,,,
